date,open,high,low,close,volume,daily_return,Trend
2026-03-16,398.07,400.63,394.79,399.95,27733721.0,0.47,Upward
2026-03-17,400.27,404.4,397.74,399.41,26228279.0,-0.21,Downward
2026-03-18,397.12,398.0,391.0,391.79,25908484.0,-1.34,Downward
2026-03-19,390.1,392.49,387.06,389.02,25138772.0,-0.28,Downward
2026-03-20,386.79,387.0,380.12,381.87,50853154.0,-1.27,Downward
2026-03-23,383.9,387.21,381.68,383.0,29680059.0,-0.23,Downward
2026-03-24,382.36,382.47,371.85,372.74,42733625.0,-2.52,Downward
